Student Name,Fees Paid,Date of Birth,Address,Subject 1,Subject 2,Subject 3,Teacher Name,Teacher Address,Course Name,
John Smith,18-Jul-00,4-Aug-91,"3 Main Street, North Boston 56125",Economics 1 (Business),Biology 1 (Science),,James Peterson,"44 March Way, Glebe 56100",Economics,
Maria Griffin,14-May-01,10-Sep-92,"16 Leeds Road, South Boston 56128",Biology 1 (Science),Business Intro (Business),Programming 2 (IT),James Peterson,"44 March Way, Glebe 56100",Computer Science,
Susan Johnson,3-Feb-01,13-Jan-91,"21 Arrow Street, South Boston 56128",Biology 2 (Science),,,Sarah Francis,,Medicine,
Matt Long,29-Apr-02,25-Apr-92,"14 Milk Lane,Â South Boston 56128",,,,Shane Cobson,"105 Mist Road, Faulkner 56410",Dentistry,
,,,,,,,,,,
,,,,,,,,,,
,Student,,,,,,,,,
ID,Name,FeeID,Date Of Birth,AddressID,SubjectIDs,CourseID,,,TeacherID,CourseID
1,John Smith,1,4-Aug-91,1,"1, 2","1, 3",,,1,1
2,Maria Griffin,2,10-Sep-92,2,"2, 3, 4","1, 2, 3",,,1,2
3,Susan Johnson,3,13-Jan-91,3,5,3,,,2,3
4,Matt Long,4,25-Apr-92,4,,4,,,3,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,SubjectID,CourseID
,,,,Address,,,,,,
Fees,,,,ID,Address,,Course,,,
ID,Paid On,StudentID,CourseIDs,1,"3 Main Street, North Boston 56125",,CourseID,Name,,
1,18-Jul-00,1,"1, 3",2,"16 Leeds Road, South Boston 56128",,1,Economics,,
2,14-May-01,2,"1, 2, 3",3,"21 Arrow Street, South Boston 56128",,2,Computer Science,,
3,3-Feb-01,3,3,4,"14 Milk Lane,Â South Boston 56128",,3,Medicine,,
4,29-Apr-02,4,4,5,"44 March Way, Glebe 56100",,4,Dentistry,,
,,,,6,"105 Mist Road, Faulkner 56410",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Subject,,,,,,
,,,ID,Name,CourseID,,TeacherID,Name,AddressID,
,,,1,Economics 1 (Business),1,,1,James Peterson,5,
,,,2,Biology 1 (Science),3,,2,Sarah Francis,,
,,,3,Business Intro (Business),1,,3,Shane Cobson,6,
,,,4,Programming 2 (IT),2,,,,,
,,,5,Biology 2 (Science),3,,,,,
